,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
49,110 m hurdles,13.93,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Elton Bitincka,13.93
50,400 m hurdles,50.53,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Ilir Xhani,50.53
51,3000 m steeplechase,08:43.3,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Krenar Meçani,523.3
52,High jump,2.11,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Muhamet Abazi,2.11
53,Pole vault,5.4,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Sazan Fisheku,5.4
54,Long jump,8.11,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Izmir Smajlaj,8.11
55,Triple jump,16.3,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Izmir Smajlaj,16.3
56,Shot put,18.9,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Adriatik Hoxha,18.9
57,Discus throw,53.66,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Dhimitraq Cepa,53.66
58,Hammer throw,76.96,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Dorian Collaku,76.96
