,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
393,400 m,55.97s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Female,AZ,AZE,31.0,Shafa Memmedova,55.97
401,100 m hurdles,13.85s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Female,AZ,AZE,31.0,Ella Kolesnikova,13.85
402,400 m hurdles,01:00.7s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Female,AZ,AZE,31.0,Tatyana Averiyanova,60.7
412,100 m,10.03s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Male,BH,BHR,48.0,Kemarley Brown,10.03
413,200 m,20.19s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Male,BH,BHR,48.0,Mohamed Salem Eid Yaqoob,20.19
414,400 m,44.36s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Male,BH,BHR,48.0,Ali Khamis,44.36
422,110 m hurdles,14.24s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Male,BH,BHR,48.0,Ahmed Hamada Jassim,14.24
423,400 m hurdles,49.31s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Male,BH,BHR,48.0,Ahmed Hamada Jassim,49.31
433,100 m,11.12s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Female,BH,BHR,48.0,Rakia Al-Gasara,11.12
434,200 m,22.51s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Female,BH,BHR,48.0,Salwa Eid Naser,22.51
435,400 m,49.08s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Female,BH,BHR,48.0,Salwa Eid Naser,49.08
443,100 m hurdles,13.34s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Female,BH,BHR,48.0,Fatmata Fofanah,13.34
444,400 m hurdles,54.12s,Bahrain,Asia,https://en.wikipedia.org/wiki/List_of_Bahraini_records_in_athletics,BH,25.930414,50.637772,Female,BH,BHR,48.0,Kemi Adekoya,54.12
453,100 m,10.54s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Male,BD,BGD,50.0,Mohamed Mahbub Alam,10.54
454,200 m,21.15s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Male,BD,BGD,50.0,Mohamed Mahbub Alam,21.15
455,400 m,47.55s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Male,BD,BGD,50.0,Mohamed Hossain Milzer,47.55
461,110 m hurdles,14.15s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Male,BD,BGD,50.0,Mahfuzur Rahman,14.15
462,400 m hurdles,51.87s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Male,BD,BGD,50.0,Abdur Rahim Nayeem,51.87
474,100 m,11.99s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Female,BD,BGD,50.0,Shohagi Akter,11.99
475,200 m,25.04s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Female,BD,BGD,50.0,Beauty Nazmun Nahar,25.04
476,400 m,55.46s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Female,BD,BGD,50.0,Beauty Nazmun Nahar,55.46
484,100 m hurdles,13.99s,Bangladesh,Asia,https://en.wikipedia.org/wiki/List_of_Bangladeshi_records_in_athletics,BD,23.684994,90.356331,Female,BD,BGD,50.0,Sumita Rani,13.99
492,100 m,9.87s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Male,BB,BRB,52.0,Obadele Thompson,9.87
493,200 m,19.97s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Male,BB,BRB,52.0,Obadele Thompson,19.97
